ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Achagua-1_i-1-1,Achagua-1_i-1,nuja,1,false,expert,Chacon2017,,,
Baniwa-1_i-1-1,Baniwa-1_i-1,nhóa,1,false,expert,Chacon2017,,,
Kabiyari-1_i-1-1,Kabiyari-1_i-1,nhú,1,false,expert,Chacon2017,,,
Kabiyari-1_i-2-1,Kabiyari-1_i-2,nu-,1,false,expert,Chacon2017,,,
Piapoco-1_i-1-1,Piapoco-1_i-1,núa,1,false,expert,Chacon2017,,,
Resigaro-1_i-1-1,Resigaro-1_i-1,ó,6,false,expert,Chacon2017,,,
Tariana-1_i-1-1,Tariana-1_i-1,nuha,1,false,expert,Chacon2017,,,
Yukuna-1_i-1-1,Yukuna-1_i-1,nuká,1,false,expert,Chacon2017,,,
Achagua-2_all-1-1,Achagua-2_all-1,kininama,9,false,expert,Chacon2017,,,
Baniwa-2_all-1-1,Baniwa-2_all-1,phálhai,11,false,expert,Chacon2017,,,
Kabiyari-2_all-1-1,Kabiyari-2_all-1,put'i,17,false,expert,Chacon2017,,,
Piapoco-2_all-1-1,Piapoco-2_all-1,kanánama,9,false,expert,Chacon2017,,,
Piapoco-2_all-2-1,Piapoco-2_all-2,makáita,18,false,expert,Chacon2017,,,
Resigaro-2_all-1-1,Resigaro-2_all-1,phé?tó?,17,false,expert,Chacon2017,,,
Yukuna-2_all-1-1,Yukuna-2_all-1,pijukeha,17,false,expert,Chacon2017,,,
Achagua-3_ash-1-1,Achagua-3_ash-1,ba:li,27,false,expert,Chacon2017,,,
Baniwa-3_ash-1-1,Baniwa-3_ash-1,-wádzole,26,false,expert,Chacon2017,,,
Kabiyari-3_ash-1-1,Kabiyari-3_ash-1,pa'ari,27,false,expert,Chacon2017,,,
Piapoco-3_ash-1-1,Piapoco-3_ash-1,balìi,27,false,expert,Chacon2017,,,
Piapoco-3_ash-2-1,Piapoco-3_ash-2,ibalìiná,27,false,expert,Chacon2017,,,
Resigaro-3_ash-1-1,Resigaro-3_ash-1,ókóniigiJíhú,25,false,expert,Chacon2017,,,
Yukuna-3_ash-1-1,Yukuna-3_ash-1,paiʔilá,27,false,expert,Chacon2017,,,
Achagua-4_bark-1-1,Achagua-4_bark-1,i:manaʃi,37,false,expert,Chacon2017,,,
Baniwa-4_bark-1-1,Baniwa-4_bark-1,-ya,30,false,expert,Chacon2017,,,
Resigaro-4_bark-1-1,Resigaro-4_bark-1,daʔmí,37,false,expert,Chacon2017,,,
Yukuna-4_bark-1-1,Yukuna-4_bark-1,ímahi,37,false,expert,Chacon2017,,,
Achagua-5_belly-1-1,Achagua-5_belly-1,jawaiʃi,39,false,expert,Chacon2017,,,
Baniwa-5_belly-1-1,Baniwa-5_belly-1,-xáda,48,false,expert,Chacon2017,,,
Kabiyari-5_belly-1-1,Kabiyari-5_belly-1,te[re],46,false,expert,Chacon2017,,,
Piapoco-5_belly-1-1,Piapoco-5_belly-1,dèe,46,false,expert,Chacon2017,,,
Resigaro-5_belly-1-1,Resigaro-5_belly-1,-ii?šáú,48,false,expert,Chacon2017,,,
Yukuna-5_belly-1-1,Yukuna-5_belly-1,hulahi,47,false,expert,Chacon2017,,,
Achagua-6_big-1-1,Achagua-6_big-1,maanuii,58,false,expert,Chacon2017,,,
Baniwa-6_big-1-1,Baniwa-6_big-1,maka-,50,false,expert,Chacon2017,,,
