ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
Achagua-1_i-1,,Achagua,1_i,nujá,nuja,n u j a,,melendez_lozano_diccionario_2011,,
Baniwa-1_i-1,,Baniwa,1_i,nhóa,nhóa,ɲ ó/o a,,ramirez_dicionario_2001,,
Kabiyari-1_i-1,,Kabiyari,1_i,nhú,nhú,ɲ ú/u,,Chacon2017,,
Kabiyari-1_i-2,,Kabiyari,1_i,nu-,nu-,n u,,Chacon2017,,
Piapoco-1_i-1,,Piapoco,1_i,núa,núa,n ú/u a,,Chacon2017,,
Resigaro-1_i-1,,Resigaro,1_i,ó,ó,ó/o,,Chacon2017,,
Tariana-1_i-1,,Tariana,1_i,nuha,nuha,n u h a,,Chacon2017,,
Yukuna-1_i-1,,Yukuna,1_i,nuká,nuká,n u k á/a,,schauer_diccionario_2005,,
Achagua-2_all-1,,Achagua,2_all,kinínama,kininama,k i n i n a m a,,melendez_lozano_diccionario_2011,,
Baniwa-2_all-1,,Baniwa,2_all,phálhai,phálhai,pʰ á/a ʎ a i,,ramirez_dicionario_2001,,
Kabiyari-2_all-1,,Kabiyari,2_all,put'i,put'i,p u t ʔ i,,Chacon2017,,
Piapoco-2_all-1,,Piapoco,2_all,canánama,kanánama,k a n á/a n a m a,,Chacon2017,,
Piapoco-2_all-2,,Piapoco,2_all,macáita,makáita,m a k á/a i t a,,Chacon2017,,
Resigaro-2_all-1,,Resigaro,2_all,phé?tó?,phé?tó?,pʰ é/e ʔ t ó/o ʔ,,huber_vocabulario_1991,,
Yukuna-2_all-1,,Yukuna,2_all,piyukeja,pijukeha,p i j u k e h a,,Chacon2017,,
Achagua-3_ash-1,,Achagua,3_ash,báali,ba:li,b a: l i,,melendez_lozano_diccionario_2011,,
Baniwa-3_ash-1,,Baniwa,3_ash,-wádzole,-wádzole,w á/a dz o l e,,ramirez_dicionario_2001,,
Kabiyari-3_ash-1,,Kabiyari,3_ash,pa'ari,pa'ari,p a ʔ a r i,,ramirez_dicionario_2001,,
Piapoco-3_ash-1,,Piapoco,3_ash,balìi,balìi,b a l ì/i i,,Chacon2017,,
Piapoco-3_ash-2,,Piapoco,3_ash,ibalìiná,ibalìiná,i b a l ì/i i n á/a,,Chacon2017,,
Resigaro-3_ash-1,,Resigaro,3_ash,ókóniigiJíhú,ókóniigiJíhú,ó/o k ó/o n ii g i ʒ í/i h ú/u,,Chacon2017,,
Yukuna-3_ash-1,,Yukuna,3_ash,pai'ilá,paiʔilá,p a i ʔ i l á/a,,Chacon2017,,
Achagua-4_bark-1,,Achagua,4_bark,íimanaʃi,i:manaʃi,i: m a n a ʃ i,,melendez_lozano_diccionario_2011,,
Baniwa-4_bark-1,,Baniwa,4_bark,-ya,-ya,y a,,ramirez_dicionario_2001,,
Resigaro-4_bark-1,,Resigaro,4_bark,da?mí,daʔmí,d a ʔ m í/i,,Chacon2017,,
Yukuna-4_bark-1,,Yukuna,4_bark,ímaji,ímahi,í/i m a h i,,Chacon2017,,
Achagua-5_belly-1,,Achagua,5_belly,jawaiʃi,jawaiʃi,j a w a i ʃ i,,melendez_lozano_diccionario_2011,,
Baniwa-5_belly-1,,Baniwa,5_belly,-xáda,-xáda,ʃ á/a d a,,ramirez_dicionario_2001,,
Kabiyari-5_belly-1,,Kabiyari,5_belly,te[re],te[re],t e r e,,Chacon2017,,
Piapoco-5_belly-1,,Piapoco,5_belly,dèe,dèe,d è/e e,,Chacon2017,,
Resigaro-5_belly-1,,Resigaro,5_belly,-ii?šáú,-ii?šáú,ii ʔ ʃ á/a ú/u,,allin_vocabulario_1979,,
Yukuna-5_belly-1,,Yukuna,5_belly,julaji,hulahi,h u l a h i,,Chacon2017,,
Achagua-6_big-1,,Achagua,6_big,máanuii,maanuii,m aa n u ii,,melendez_lozano_diccionario_2011,,
Baniwa-6_big-1,,Baniwa,6_big,maka-,maka-,m a k a,,ramirez_dicionario_2001,,
Kabiyari-6_big-1,,Kabiyari,6_big,manuʔú,manuʔú,m a n u ʔ ú/u,,Chacon2017,,
Piapoco-6_big-1,,Piapoco,6_big,manuíri,manuíɾi,m a n u í/i ɾ i,,Chacon2017,,
Resigaro-6_big-1,,Resigaro,6_big,ǰiǰá?aamí,ǰiǰá?aamí,dʒ i dʒ á/a ʔ aa m í/i,,allin_vocabulario_1979,,
Yukuna-6_big-1,,Yukuna,6_big,ñópo'ojlo,ɲópoʔohlo,ɲ ó/o p o ʔ o h l o,,Chacon2017,,
Achagua-7_bird-1,,Achagua,7_bird,míʃidu,míʃidu,m í/i ʃ i d u,,melendez_lozano_diccionario_2011,,
Baniwa-7_bird-1,,Baniwa,7_bird,képira,képira,k é/e p i r a,,ramirez_dicionario_2001,,
Kabiyari-7_bird-1,,Kabiyari,7_bird,ʔupira,ʔupira,ʔ u p i r a,,ramirez_dicionario_2001,,
Kabiyari-7_bird-2,,Kabiyari,7_bird,ku(' )pira,ku(' )pira,k u ʔ p i r a,,ramirez_dicionario_2001,,
Piapoco-7_bird-1,,Piapoco,7_bird,màsibèe,màsibèe,m à/a s i b è/e e,,Chacon2017,,
Piapoco-7_bird-2,,Piapoco,7_bird,kuìpìra,kuìpìra,k u ì/i p ì/i r a,,huber_vocabulario_1991,,
Resigaro-7_bird-1,,Resigaro,7_bird,kóʔpíidú,kóʔpíidú,k ó/o ʔ p í/i i d ú/u,,Chacon2017,,
Resigaro-7_bird-2,,Resigaro,7_bird,adovíigí,adovíigí,a d o v í/i i g í/i,,Chacon2017,,
Yukuna-7_bird-1,,Yukuna,7_bird,kupira'aphá,kupiraʔapʰá,k u p i r a ʔ a pʰ á/a,,Chacon2017,,
Achagua-8_bite-1,,Achagua,8_bite,-ámua,-ámua,á/a m u a,,ramirez_dicionario_2001,,
Baniwa-8_bite-1,,Baniwa,8_bite,-mhoa,-mhoa,mʰ o a,,ramirez_dicionario_2001,,
Kabiyari-8_bite-1,,Kabiyari,8_bite,amhe,amhe,a mʰ e,,ramirez_dicionario_2001,,
Piapoco-8_bite-1,,Piapoco,8_bite,ichicúadaca,itʃikúadaka,i tʃ i k ú/u a d a k a,,Chacon2017,,
Piapoco-8_bite-2,,Piapoco,8_bite,imasáaca,imasáaka,i m a s á/a a k a,,Chacon2017,,
Piapoco-8_bite-3,,Piapoco,8_bite,nuamíadaca,nuamíadaka,n u a m í/i a d a k a,,Chacon2017,,
Piapoco-8_bite-4,,Piapoco,8_bite,yaamíaca,jaamíaka,j aa m í/i a k a,,Chacon2017,,
Piapoco-8_bite-5,,Piapoco,8_bite,yúucaca,júukaka,j ú/u u k a k a,,Chacon2017,,
Resigaro-8_bite-1,,Resigaro,8_bite,-emú,-emú,e m ú/u,,allin_vocabulario_1979,,
Yukuna-8_bite-1,,Yukuna,8_bite,ajma'akaje,ahmaʔakahe,a h m a ʔ a k a h e,,Chacon2017,,
Achagua-9_black-1,,Achagua,9_black,katʃáhulailau,katʃahulailau,k a tʃ a h u l a i l a u,,melendez_lozano_diccionario_2011,,
Baniwa-9_black-1,,Baniwa,9_black,íitta,íitta,í/i i tt a,,ramirez_dicionario_2001,,
Kabiyari-9_black-1,,Kabiyari,9_black,kewere-ri,kewere-ri,k e w e r e r i,,Chacon2017,,
Piapoco-9_black-1,,Piapoco,9_black,cúulíiri,kú:lí:ɾi,k ú:/uː l í:/iː ɾ i,,Chacon2017,,
Resigaro-9_black-1,,Resigaro,9_black,tsaphó?,tsaphó?,ts a pʰ ó/o ʔ,,allin_vocabulario_1979,,
Yukuna-9_black-1,,Yukuna,9_black,kameni,kameni,k a m e n i,,schauer_diccionario_2005,,
Achagua-10_blood-1,,Achagua,10_blood,íirai,iirai,ii r a i,,melendez_lozano_diccionario_2011,,
Baniwa-10_blood-1,,Baniwa,10_blood,-iiranaa,-iiranaa,ii r a n aa,,ramirez_dicionario_2001,,
Kabiyari-10_blood-1,,Kabiyari,10_blood,íʔira,íʔira,í/i ʔ i r a,,Chacon2017,,
Piapoco-10_blood-1,,Piapoco,10_blood,irái,iɾái,i ɾ á/a i,,Chacon2017,,
Resigaro-10_blood-1,,Resigaro,10_blood,-iidú,-iidú,ii d ú/u,,allin_vocabulario_1979,,
Yukuna-10_blood-1,,Yukuna,10_blood,íraji,íɾahi,í/i ɾ a h i,,Chacon2017,,
Yukuna-10_blood-2,,Yukuna,10_blood,jirá,hiɾá,h i ɾ á/a,,Chacon2017,,
Achagua-11_bone-1,,Achagua,11_bone,jáhiʃi,jahiʃi,j a h i ʃ i,,melendez_lozano_diccionario_2011,,
Baniwa-11_bone-1,,Baniwa,11_bone,-áapi,-áapi,á/a a p i,,ramirez_dicionario_2001,,
Kabiyari-11_bone-1,,Kabiyari,11_bone,japi,japi,j a p i,,Chacon2017,,
Piapoco-11_bone-1,,Piapoco,11_bone,api,api,a p i,,Chacon2017,,
Resigaro-11_bone-1,,Resigaro,11_bone,aápí,aápí,a á/a p í/i,,Chacon2017,,
Yukuna-11_bone-1,,Yukuna,11_bone,aphinámiji,apʰinámihi,a pʰ i n á/a m i h i,,Chacon2017,,
Baniwa-12_breast1-1,,Baniwa,12_breast1,-íini,-íini,í/i i n i,,ramirez_dicionario_2001,,
Piapoco-12_breast1-1,,Piapoco,12_breast1,ìni,ìni,ì/i n i,,Chacon2017,,
Achagua-13_breast2-1,,Achagua,13_breast2,kútaʃi,kutaʃi,k u t a ʃ i,,melendez_lozano_diccionario_2011,,
Kabiyari-13_breast2-1,,Kabiyari,13_breast2,ji,ji,j i,,Chacon2017,,
